x
ANA	0.0243194347263045
ARI	0.0272358292391453
ATL	0.00220780493910504
BAL	0.0106387931008876
BOS	0.00504331644705459
CHA	0.0435575804266249
CHN	0.0120134964361266
CIN	0.00451737858698595
CLE	0.0458214662356587
COL	0.00361396395325261
DET	0.114076568903168
FLO	0.0165859253496191
HOU	0.063768246404395
KCA	0.000647804665116756
LAN	0.0228888133017172
MIA	0.0551721508598874
MIL	0.0595231893784718
MIN	0.00837289379312279
MON	0.00227071980580963
NYA	0.00748924804018455
NYN	0.0119962135078115
OAK	0.0203987125105882
PHI	0.0261188586958882
PIT	0.0295363895244921
SDN	0.0116147975655218
SEA	0.0499904853214951
SFN	0.0313161083809602
SLN	0.00587886885922265
TBA	0.0220508926727094
TEX	0.000894533176667089
TOR	0.0223187027201103
WAS	0.0272761910419812
