yearID	teamID	sum(salary)
2008	MIL	80937499
2008	MIN	56932766
2008	NYA	207896789
2008	NYN	137793376
2008	OAK	47967126
2008	PHI	97879880
2008	PIT	48689783
2008	SDN	73677616
2008	SEA	117666482
2008	SFN	76594500
2008	SLN	99624449
2008	TBA	43820597
2008	TEX	67712326
2008	TOR	97793900
2008	WAS	54961000
2009	ARI	73115666
2009	ATL	96726166
2009	BAL	67101666
2009	BOS	121345999
2009	CHA	96068500
2009	CHN	134809000
2009	CIN	73558500
2009	CLE	81579166
2009	COL	75201000
2009	DET	115085145
2009	FLO	36834000
2009	HOU	102996414
2009	KCA	70519333
2009	LAA	113709000
2009	LAN	100414592
2009	MIL	80182502
2009	MIN	65299266
2009	NYA	201449189
2009	NYN	149373987
2009	OAK	61910000
2009	PHI	113004046
2009	PIT	48693000
2009	SDN	43333700
2009	SEA	98904166
2009	SFN	83026450
2009	SLN	88528409
2009	TBA	63313034
2009	TEX	68178798
2009	TOR	80538300
2009	WAS	59928000
2010	ARI	60718166
2010	ATL	84423666
2010	BAL	81612500
2010	BOS	162447333
2010	CHA	105530000
2010	CHN	146609000
2010	CIN	71761542
2010	CLE	61203966
2010	COL	84227000
2010	DET	122864928
2010	FLO	57029719
2010	HOU	92355500
2010	KCA	71405210
2010	LAA	104963866
2010	LAN	95358016
2010	MIL	81108278
2010	MIN	97559166
2010	NYA	206333389
2010	NYN	134422942
2010	OAK	55254900
2010	PHI	141928379
2010	PIT	34943000
2010	SDN	37799300
2010	SEA	86510000
2010	SFN	98641333
2010	SLN	93540751
2010	TBA	71923471
2010	TEX	55250544
2010	TOR	62234000
2010	WAS	61400000
2011	ARI	53639833
2011	ATL	87002692
2011	BAL	85304038
2011	BOS	161762475
2011	CHA	127789000
2011	CHN	125047329
2011	CIN	75947134
2011	CLE	48776566
2011	COL	88148071
2011	DET	105700231
2011	FLO	56944000
2011	HOU	70694000
2011	KCA	35712000
2011	LAA	138543166
2011	LAN	104188999
2011	MIL	85497333
2011	MIN	112737000
2011	NYA	202275028
2011	NYN	118847309
2011	OAK	66536500
2011	PHI	172976379
2011	PIT	45047000
2011	SDN	45869140
2011	SEA	86110600
2011	SFN	118198333
2011	SLN	105433572
2011	TBA	41053571
2011	TEX	92299264
2011	TOR	62567800
2011	WAS	63856928
2012	ARI	73804833
2012	ATL	82829942
2012	BAL	77353999
2012	BOS	173186617
2012	CHA	96919500
2012	CHN	88197033
2012	CIN	82203616
2012	CLE	78430300
2012	COL	78069571
2012	DET	132300000
2012	HOU	60651000
2012	KCA	60916225
2012	LAA	154485166
2012	LAN	95143575
2012	MIA	118078000
2012	MIL	97653944
2012	MIN	94085000
2012	NYA	196522289
2012	NYN	93353983
2012	OAK	55372500
2012	PHI	174538938
2012	PIT	62951999
2012	SDN	55244700
2012	SEA	81978100
2012	SFN	117620683
2012	SLN	110300862
2012	TBA	64173500
2012	TEX	120510974
2012	TOR	75009200
2012	WAS	80855143
2013	ARI	90132000
2013	ATL	87871525
2013	BAL	84393333
2013	BOS	151530000
2013	CHA	120065277
2013	CHN	100567726
2013	CIN	106404462
2013	CLE	75771800
2013	COL	74409071
2013	DET	145989500
2013	HOU	17890700
2013	KCA	80091725
2013	LAA	124174750
2013	LAN	223362196
2013	MIA	33601900
2013	MIL	76947033
2013	MIN	75337500
2013	NYA	231978886
2013	NYN	49448346
2013	OAK	60132500
2013	PHI	169863189
2013	PIT	77062000
2013	SDN	65585500
2013	SEA	74005043
2013	SFN	140180334
2013	SLN	92260110
2013	TBA	52955272
2013	TEX	112522600
2013	TOR	126288100
2013	WAS	113703270
2014	ARI	97861500
2014	ATL	97609000
2014	BAL	103416000
2014	BOS	139019929
2014	CHA	81830500
2014	CHN	65522500
2014	CIN	108217500
2014	CLE	82151899
2014	COL	95403500
2014	DET	152855500
2014	HOU	35116300
2014	KCA	74594075
2014	LAA	121988250
2014	LAN	217014600
2014	MIA	41836900
2014	MIL	101217000
2014	MIN	83762500
2014	NYA	197543907
2014	NYM	54806990
2014	NYN	30750000
2014	OAK	72408400
2014	PHI	180944967
2014	PIT	77178000
2014	SDN	75685700
2014	SEA	92531100
2014	SFG	143510167
2014	SFN	20000000
2014	SLN	120693000
2014	TBA	72689100
2014	TEX	112255059
2014	TOR	109920100
2014	WAS	131983680
