x
ANA	0.0136472723697996
ARI	0.0272358292391453
ATL	1.62341048800785e-06
BAL	0.00323429247849003
BOS	0.00504331644705459
CHA	0.0339550759223173
CHN	0.000931324576331223
CIN	0.00486571702758156
CLE	0.0267455894913958
COL	0.00367234631442118
DET	0.102951608251173
FLO	0.00625384662074051
HOU	0.063768246404395
KCA	0.000123479636447258
LAN	0.0228888133017172
MIA	0.0551721508598874
MIL	0.0589118326393212
MIN	0.00904969416071705
MON	0.00227071980580963
NYA	8.47965542547752e-05
NYN	0.00299963068207446
OAK	0.0218654365548305
PHI	0.0175200190887176
PIT	0.0106647016062807
SDN	0.0082144369372566
SEA	0.0375048317553677
SFN	0.0114098075244485
SLN	0.00370190894384753
TBA	0.0184939065852919
TEX	0.00252425508452526
TOR	0.0164163327009857
WAS	0.017631384394845
